code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000002.SZ,20120101,,,,,,,1.7514,8213422.033,7214958.01,7.47,
000004.SZ,20120101,,,,,,,9.2972,67937.1374,67856.6419,8.09,
000005.SZ,20120101,,,,,,,5.029,352932.7723,352704.8007,3.86,
000006.SZ,20120101,,,,,,,1.5087,405493.0176,396818.4069,4.1,
000007.SZ,20120101,,,,,,,5.5491,151975.2089,121707.2089,6.58,
000008.SZ,20120101,,,,,,,6.9585,51336.286,51336.2232,6.97,
000009.SZ,20120101,,,,,,,4.5263,1188918.077,1176587.082,10.9,
000010.SZ,20120101,,,,,,,47.1623,215086.5264,99182.3967,14.63,
000011.SZ,20120101,,,,,,,3.1127,367719.0998,89560.3456,6.17,
000012.SZ,20120101,,,,,,,2.7724,1880708.376,1168587.959,9.06,
