<portfolio>,Portfolio2,,,,
<portfolio owner>,,,,,
<description>,,,,,
<store by value>,No,,,,
<validate>,Yes,,,,
<ID AS OF>,Today,,,,
<portfolio value>,10000000,,,,
<portfolio currency>,CNY,,,,
<base currency>,CNY,,,,
<date>,<portfolio>,<CODE_CN>,<TICKER_US>,<ISIN>,<weight>
20100301,,000509.SZ,,,14.77517138
20100301,,000545.SZ,,,6.337083524
20100301,,600706.SH,,,5.16947581
20100301,,600076.SH,,,2.202152198
20100301,,600083.SH,,,2.122860475
20100301,,600793.SH,,,1.646813391
20100301,,600515.SH,,,1.560766908
20100301,,000536.SZ,,,1.518460386
20100301,,000673.SZ,,,1.32669915
20100301,,600373.SH,,,1.083872335
20100301,,000908.SZ,,,1.065506732
20100301,,600876.SH,,,1.021895027
20100301,,600816.SH,,,1.012318659
20100301,,600869.SH,,,1.007439943
20100301,,000010.SZ,,,0.938101808
20100301,,600610.SH,,,0.926704723
20100301,,600766.SH,,,0.922029705
20100301,,000613.SZ,,,0.855417616
20100301,,600579.SH,,,0.832364422
20100301,,000628.SZ,,,0.757697421
20100301,,000409.SZ,,,0.750474908
20100301,,600885.SH,,,0.725115639
20100301,,600848.SH,,,0.696333725
20100301,,600462.SH,,,0.679824046
20100301,,600695.SH,,,0.63087593
20100301,,000922.SZ,,,0.615746878
20100301,,000710.SZ,,,0.569124955
20100301,,600609.SH,,,0.560881432
20100301,,600139.SH,,,0.545588918
20100301,,600847.SH,,,0.52264889
20100301,,000605.SZ,,,0.522249036
20100301,,000996.SZ,,,0.51742816
20100301,,600733.SH,,,0.492011051
20100301,,600812.SH,,,0.477083183
20100301,,600647.SH,,,0.475554183
20100301,,600552.SH,,,0.474555807
20100301,,000809.SZ,,,0.473673111
20100301,,600698.SH,,,0.46254008
20100301,,600547.SH,,,0.44878914
20100301,,000546.SZ,,,0.438332591
20100301,,600259.SH,,,0.435986281
20100301,,600198.SH,,,0.434500032
20100301,,000633.SZ,,,0.426877666
20100301,,600223.SH,,,0.425147482
20100301,,000893.SZ,,,0.422675431
20100301,,600252.SH,,,0.413765486
20100301,,000537.SZ,,,0.413285158
20100301,,600645.SH,,,0.40925393
20100301,,600800.SH,,,0.399504041
20100301,,000638.SZ,,,0.393249727
20100301,,000703.SZ,,,0.39276437
20100301,,000004.SZ,,,0.389014799
20100301,,000586.SZ,,,0.386952661
20100301,,600145.SH,,,0.385378395
20100301,,600275.SH,,,0.384586232
20100301,,600146.SH,,,0.384445403
20100301,,600781.SH,,,0.375545517
20100301,,600161.SH,,,0.37481371
20100301,,000603.SZ,,,0.374471697
20100301,,000025.SZ,,,0.370211621
20100301,,600843.SH,,,0.363688223
20100301,,000722.SZ,,,0.362405674
20100301,,600735.SH,,,0.361993247
20100301,,600890.SH,,,0.361797092
20100301,,000856.SZ,,,0.360796201
20100301,,000413.SZ,,,0.358394564
20100301,,000862.SZ,,,0.357459058
20100301,,000078.SZ,,,0.356249438
20100301,,600604.SH,,,0.353689369
20100301,,002007.SZ,,,0.353038035
20100301,,000869.SZ,,,0.352343949
20100301,,000792.SZ,,,0.351785663
20100301,,601099.SH,,,0.34921302
20100301,,600115.SH,,,0.34909231
20100301,,000639.SZ,,,0.348876037
20100301,,600828.SH,,,0.347681505
20100301,,600157.SH,,,0.347183575
20100301,,600570.SH,,,0.347173515
20100301,,600850.SH,,,0.344638594
20100301,,000665.SZ,,,0.343217731
20100301,,600406.SH,,,0.342953677
20100301,,600818.SH,,,0.342807818
20100301,,002038.SZ,,,0.342272165
20100301,,001896.SZ,,,0.340778373
20100301,,002022.SZ,,,0.336767263
20100301,,600856.SH,,,0.336473031
20100301,,000585.SZ,,,0.328898446
20100301,,600511.SH,,,0.326504354
20100301,,600111.SH,,,0.324303901
