code,date,p2b
000001.SZ,20051130,2.2659
000002.SZ,20051130,2.1808
000004.SZ,20051130,4.2117
000005.SZ,20051130,1.3164
000006.SZ,20051130,1.035
000007.SZ,20051130,6.8928
000008.SZ,20051130,5.1674
000009.SZ,20051130,1.8791
000010.SZ,20051130,2.9882
000011.SZ,20051130,4.173
000012.SZ,20051130,1.8147
000014.SZ,20051130,1.7766
000016.SZ,20051130,0.6705
000017.SZ,20051130,nan
000018.SZ,20051130,2.9931
000019.SZ,20051130,3.5547
000020.SZ,20051130,3.3492
000021.SZ,20051130,2.0219
000022.SZ,20051130,3.9959
000023.SZ,20051130,2.3943
000024.SZ,20051130,1.6525
000025.SZ,20051130,3.3528
000026.SZ,20051130,1.9788
000027.SZ,20051130,1.8682
000028.SZ,20051130,3.2731
000029.SZ,20051130,4.3274
000030.SZ,20051130,nan
000031.SZ,20051130,2.0903
000032.SZ,20051130,1.7107
000033.SZ,20051130,2.0917
000034.SZ,20051130,nan
000035.SZ,20051130,nan
000036.SZ,20051130,0.818
000037.SZ,20051130,2.2055
000038.SZ,20051130,4.5315
000039.SZ,20051130,1.668
000040.SZ,20051130,1.145
000042.SZ,20051130,1.0662
000043.SZ,20051130,2.8472
000045.SZ,20051130,3.9441
000046.SZ,20051130,0.9023
000048.SZ,20051130,15.1058
000049.SZ,20051130,5.9954
000050.SZ,20051130,1.984
000055.SZ,20051130,3.5532
000056.SZ,20051130,4.2983
000058.SZ,20051130,1.6504
000059.SZ,20051130,1.3541
000060.SZ,20051130,1.9549
000061.SZ,20051130,1.1716
000062.SZ,20051130,0.9276
000063.SZ,20051130,2.7219
000065.SZ,20051130,1.8083
000066.SZ,20051130,1.9542
000068.SZ,20051130,1.2963
000069.SZ,20051130,4.8532
000070.SZ,20051130,1.3276
000078.SZ,20051130,0.6975
000088.SZ,20051130,3.5552
000089.SZ,20051130,1.9819
000090.SZ,20051130,0.8596
000096.SZ,20051130,1.7089
000099.SZ,20051130,1.4623
000100.SZ,20051130,1.4795
000150.SZ,20051130,1.2508
000151.SZ,20051130,1.2655
000153.SZ,20051130,1.3646
000155.SZ,20051130,1.5586
000156.SZ,20051130,1.303
000157.SZ,20051130,1.7046
000158.SZ,20051130,0.8734
000159.SZ,20051130,1.0762
000301.SZ,20051130,0.8303
000400.SZ,20051130,0.8437
000401.SZ,20051130,1.3357
000402.SZ,20051130,2.8641
000403.SZ,20051130,1.2845
000404.SZ,20051130,1.1103
000406.SZ,20051130,1.2457
000407.SZ,20051130,1.2999
000408.SZ,20051130,1.0275
000409.SZ,20051130,2.731
000410.SZ,20051130,2.3879
000411.SZ,20051130,5.8877
000413.SZ,20051130,1.8219
000415.SZ,20051130,1.7589
000416.SZ,20051130,2.1351
000417.SZ,20051130,1.1654
000418.SZ,20051130,1.0513
000419.SZ,20051130,1.1422
000420.SZ,20051130,0.7692
000421.SZ,20051130,1.7211
