code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20110831,1.284,8632845.451,5232529.362
000002.SZ,20110831,1.9394,8961096.328,7871741.336
000004.SZ,20110831,13.9316,101443.8343,101323.6383
000005.SZ,20110831,4.9343,352932.7723,352704.8007
000006.SZ,20110831,2.1117,539009.0112,527478.1263
000007.SZ,20110831,6.9133,188698.7016,151116.7016
000008.SZ,20110831,12.1139,89488.6477,89488.5384
000009.SZ,20110831,7.8325,2063700.001,2042296.11
000010.SZ,20110831,50.976,215086.5264,99182.3967
000011.SZ,20110831,4.8463,568564.0538,138252.8891
000012.SZ,20110831,5.0325,3278229.892,2036645.019
000014.SZ,20110831,2.8038,143008.9776,143008.9776
000016.SZ,20110831,1.1908,450285.7913,224366.3437
000017.SZ,20110831,,270711.842,95142.7198
000018.SZ,20110831,9.3132,122289.9234,72097.8875
000019.SZ,20110831,2.8277,250900.154,141233.241
000020.SZ,20110831,7.9863,220299.4346,50317.5367
000021.SZ,20110831,2.4103,963072.7801,962063.0982
000022.SZ,20110831,2.4427,787256.5143,567508.3519
000023.SZ,20110831,3.4515,109894.9421,83728.1776
000024.SZ,20110831,1.6759,3262870.956,1299993.767
000025.SZ,20110831,12.455,218959.9104,178218.7767
000026.SZ,20110831,5.5175,731333.7739,207363.0526
000027.SZ,20110831,1.2418,1765520.258,1765520.258
000028.SZ,20110831,6.7857,803936.826,650792.8499
000029.SZ,20110831,3.2852,490655.1,432455.1
000030.SZ,20110831,13384.2564,493775.04,117674.3508
000031.SZ,20110831,2.1046,961277.7459,961269.6072
000032.SZ,20110831,2.6674,191647.3354,191610.172
000033.SZ,20110831,7.2538,208182.0956,208182.0956
000034.SZ,20110831,33.4707,254519.1805,241784.9402
000035.SZ,20110831,,174007.6096,99055.3696
000036.SZ,20110831,2.2254,384369.5975,384369.5975
000037.SZ,20110831,1.8766,309819.9743,174191.5222
000039.SZ,20110831,2.6442,4797637.684,2218797.491
000040.SZ,20110831,2.4549,237614.2422,234851.5702
000042.SZ,20110831,2.3278,563456.5331,563213.1412
000043.SZ,20110831,1.3771,273120.6999,273084.2134
000045.SZ,20110831,2.4694,339214.0238,235124.4763
000046.SZ,20110831,2.3583,1818367.395,1807724.868
000048.SZ,20110831,,366541.0134,356307.4503
000049.SZ,20110831,14.9175,350693.1371,350585.0118
000050.SZ,20110831,4.6099,577108.6875,577091.7281
000055.SZ,20110831,4.2287,446576.844,248304.0223
000056.SZ,20110831,113.3828,439814.2573,237353.0671
000058.SZ,20110831,3.8944,432424.2545,296604.5276
000059.SZ,20110831,1.7769,1252128.141,1252128.141
000060.SZ,20110831,5.0258,2473466.115,2470766.357
000061.SZ,20110831,3.6765,1157372.824,1145761.781
000062.SZ,20110831,3.0551,535560.687,134044.0906
000063.SZ,20110831,2.7832,6415745.507,5204328.198
000065.SZ,20110831,5.8326,308143.2166,308143.2166
000066.SZ,20110831,2.5097,825922.5849,358275.8837
000068.SZ,20110831,25.1847,610633.267,610630.9073
000069.SZ,20110831,2.9198,4122380.341,1731933.827
000070.SZ,20110831,3.5386,274750.0,261226.1027
000078.SZ,20110831,7.3817,578124.2011,577286.1319
